,seconds_since_previous_pull,HH_ID,roll_ID,roll_type,starting_time,elapsed_time,total_sheets_used,number_pulled,max_min_pull_diff,multiple_pull_flag,average_time_between_pulls,label
0,4282,A,1200,Small,2019-10-29 5:51:42,0,3.991088397,1,0,FALSE,0,pee & hand washing
0,2394,A,1200,Small,2019-10-29 7:13:21,0,4.277734769,1,0,FALSE,0,pee & hand washing
0,14200,A,1200,Small,2019-10-29 11:10:01,0,2.363388,1,0,FALSE,0,pee & hand washing
0,828,A,1200,Small,2019-10-29 11:23:49,4,2.98015999,2,2.351340539,TRUE,4,pee & hand washing
0,12312,A,1200,Small,2019-10-29 14:49:05,0,2.186277729,1,0,FALSE,0,pee & hand washing
0,6481,A,1200,Small,2019-10-29 16:37:06,0,3.883745099,1,0,FALSE,0,pee & hand washing
0,13817,A,1200,Small,2019-10-29 20:27:23,6,4.472503615,2,1.071315868,TRUE,6,poo
0,7181,A,1200,Small,2019-10-29 22:27:10,12,4.894490167,2,3.980400005,TRUE,12,poo
0,974,A,1200,Small,2019-10-29 22:43:36,271,10.85652781,3,2.383214286,TRUE,135.5,object cleaning
0,5664,A,1200,Small,2019-10-30 0:22:31,0,2.977350388,1,0,FALSE,0,pee & hand washing
0,45146,A,1200,Small,2019-10-30 12:54:57,0,4.570309158,1,0,FALSE,0,pee & hand washing
0,486,A,1200,Small,2019-10-30 13:03:03,330,9.310500192,4,3.219141852,TRUE,110,object cleaning
0,631,A,1200,Small,2019-10-30 13:19:04,0,2.875634798,1,0,FALSE,0,pee & hand washing
0,15427,A,1200,Small,2019-10-30 17:36:11,0,4.282187159,1,0,FALSE,0,pee & hand washing
0,3856,A,1200,Small,2019-10-30 18:40:27,0,4.526313079,1,0,FALSE,0,pee & hand washing
0,5447,A,1200,Small,2019-10-30 20:11:14,2,9.200705881,2,4.218156361,TRUE,2,poo
0,1086,A,1200,Small,2019-10-30 20:29:22,3,10.63944889,3,4.958371224,TRUE,1.5,poo
0,31537,A,1200,Small,2019-10-31 5:15:02,0,1.748583789,1,0,FALSE,0,pee & hand washing
0,11310,A,1200,Small,2019-10-31 15:14:33,0,2.009467769,1,0,FALSE,0,pee & hand washing
0,6396,A,1200,Small,2019-10-31 17:01:09,0,3.593405616,1,0,FALSE,0,pee & hand washing
