,seconds_since_previous_pull,HH_ID,roll_ID,roll_type,multiple_pull_flag,starting_time,number_pulled,total_sheets_used,average_sheets_between_pulls,max_sheets_pull,max_min_pull_diff,elapsed_time,average_time_between_pulls,max_time_duration
0,10535,B,-1154,Small,False,2020-02-16 14:09:05,1,4.67197455818203,0,4.67197455818203,0,0,0,0
0,2459,B,-1154,Small,False,2020-02-16 14:50:04,1,5.90989564401155,0,5.90989564401155,0,0,0,0
0,57729,B,-1154,Small,True,2020-02-17 06:52:13,5,12.6064034681224,3.1516008670306,5.48247322735135,5.48247322735135,93,23.25,39
0,2963,B,-1154,Small,True,2020-02-17 07:43:09,2,6.97385805813259,6.66211628225623,6.66211628225623,6.35037450637987,5,5,5
0,174546,B,-1154,Small,True,2020-02-19 08:12:20,5,29.0986537922529,5.59034823757568,8.98047453874192,8.53480993163832,43,10.75,17
0,88149,B,-1154,Small,True,2020-02-20 08:42:12,3,11.8277040902608,5.40353963522885,7.46797963717907,6.44735481737599,29,14.5,26
0,83044,B,-1154,Small,False,2020-02-21 07:46:45,1,6.51232781802434,0,6.51232781802434,0,0,0,0
0,176712,B,-1154,Small,True,2020-02-23 08:51:57,4,14.3983673667733,3.58550173121226,5.81297444060455,4.9765466332126,342,114,210
0,8064,B,-1154,Small,False,2020-02-23 11:12:03,1,3.66431472203727,0,3.66431472203727,0,0,0,0
0,75489,B,-1154,Small,True,2020-02-24 08:10:12,3,14.7451263998123,4.55274266507752,6.04827127993235,2.99105722970966,18,9,16
0,84648,B,-1154,Small,True,2020-02-25 07:41:18,3,12.7177252535451,5.64223414929821,6.11514527780355,4.68188832285491,20,10,18
0,174015,B,-1154,Small,True,2020-02-27 08:01:53,4,18.6109057675206,4.44631384844255,7.15944006447433,6.06106101355876,30,10,15
0,83682,B,-1154,Small,True,2020-02-28 07:17:05,5,19.0231133614239,3.71125438037627,4.94630758586747,3.79612853700181,38,9.5,18
0,431652,B,-1154,Small,False,2020-03-04 07:11:55,1,7.16638556904959,0,7.16638556904959,0,0,0,0
0,1436,B,-1154,Small,True,2020-03-04 07:35:51,2,7.31936773329076,7.20874777708984,7.20874777708984,7.09812782088891,4,4,4
0,84318,B,-1154,Small,True,2020-03-05 07:01:13,3,19.4386652249757,6.41611207359972,7.10579859143752,1.3793730356756,34,17,19
0,1658,B,-1154,Small,False,2020-03-05 07:29:25,1,7.48358913399935,0,7.48358913399935,0,0,0,0
0,147617,B,-1154,Small,False,2020-03-07 00:29:42,1,5.07631269475331,0,5.07631269475331,0,0,0,0
0,27011,B,-1154,Small,False,2020-03-07 07:59:53,1,5.32874277493231,0,5.32874277493231,0,0,0,0
0,2365,B,-1154,Small,True,2020-03-07 08:39:18,2,18.5470466910291,7.59684468565283,10.9502020053763,3.35335731972346,10,10,10
0,1001,B,-1154,Small,True,2020-03-07 08:56:09,2,6.5468222269208,2.17972565528639,4.36709657163441,2.18737091634802,2,2,2
0,27681,B,-1154,Small,True,2020-03-07 16:37:32,4,24.847562842084,8.25580529210071,9.69008782320678,9.60994085742497,30,10,13
0,6075,B,1368,Small,True,2019-10-11 16:12:29,5,14.2653191275173,3.13980565179711,5.85497764541869,5.54848839593468,92,23,75
0,5202,B,1368,Small,True,2019-10-11 17:40:43,2,1.95885159108464,1.8074203385496,1.8074203385496,1.65598908601457,5,5,5
0,2796,B,1368,Small,False,2019-10-11 18:27:24,1,1.20161195497441,0,1.20161195497441,0,0,0,0
0,808,B,1368,Small,True,2019-10-11 18:40:52,2,4.63104670485796,0.595303330790492,4.03574337406747,3.44044004327698,3,3,3
0,84812,B,1368,Small,True,2019-10-12 18:14:27,4,13.3629599395239,3.31763650441042,5.29319893857987,5.14693683900236,31,10.3333333333333,17
0,11522,B,1368,Small,True,2019-10-12 21:27:00,3,12.0286425712889,2.55955760335962,6.90952736456968,5.62468362672577,65,32.5,57
0,45642,B,1368,Small,False,2019-10-13 10:08:47,1,4.08444196315253,0,4.08444196315253,0,0,0,0
0,570,B,1368,Small,True,2019-10-13 10:18:17,2,6.1301354897428,1.52496773322775,4.60516775651506,3.08020002328731,2,2,2
0,19958,B,1368,Small,True,2019-10-13 15:50:57,2,12.4221741012503,6.23619500196961,6.23619500196961,0.050215902688913,15,15,15
0,30566,B,1368,Small,True,2019-10-14 00:20:38,3,17.7925691663859,5.95502638899827,6.10824187449282,0.3064309709891,33,16.5,20
0,44768,B,1368,Small,True,2019-10-14 12:47:19,2,5.88911139290076,1.14527660799005,4.74383478491071,3.59855817692066,3,3,3
0,26310,B,1368,Small,True,2019-10-14 20:05:52,6,19.0028361958961,2.56533563111942,6.17615804029901,6.05469953757423,87,17.4,44
0,72185,B,1368,Small,False,2019-10-15 16:10:24,1,9.89261517173498,0,9.89261517173498,0,0,0,0
0,85187,B,1368,Small,True,2019-10-16 15:50:11,3,9.823423724014,2.03730640777779,5.74881090845842,5.63635673669189,16,8,15
